name,region,state,tier,tier_name,type,exp_instr_pc_2013,ipeds_enrollment_2013,sticker_price_2013,scorecard_netprice_2013,grad_rate_150_p_2013,avgfacsal_2013,sat_avg_2013,endowment_pc_2000,mr_kq5_pq1,mr_ktop1_pq1,par_median,par_q1,par_q2,par_q3,par_q4,par_q5,par_top5pc,par_top1pc,k_median,k_top5pc,k_top1pc,fy2016_endowment_pc,fy2016_endowment_thousands,log_endow_pc,is_ivy
Agnes Scott College,3,GA,4,Highly selective private,2,10864.845,915,35982,16756,0.720183486238532,8379,NA,NA,0.014744159,8.4282074e-5,97200,0.072003044,0.12996751,0.15526837,0.226091,0.41667008,0.11762413,0.012381608,38900,0.073669724,0.015001114,252178.5983,223094,12.437892838880419,FALSE
American University,3,DC,4,Highly selective private,2,10360.741,7340,41833,24281,0.7998442367601246,11074,1245,NA,0.012844238,0.001853017,135700,0.035309114,0.066071384,0.10890936,0.17679563,0.61291456,0.2953482,0.087893449,59100,0.18462574,0.037534747,50725.58617,576919,10.834185720467563,FALSE
Amherst College,1,MA,2,Other elite schools (private and public),2,21715.02,1785,48526,1936,0.9578059071729956,11690,1449,NA,0.019616831,0.0026926997,181300,0.042215958,0.059988361,0.094621271,0.097151466,0.70602298,0.43920442,0.16812453,69300,0.34223711,0.14266573,1131945.961,2031843,13.93944879897328,FALSE
Austin College,3,TX,4,Highly selective private,2,11745.803,1207,34840,17558,0.7177177177177178,7605,1195,NA,0.022787016,0.0011001534,109300,0.057600904,0.086529933,0.16222641,0.22647347,0.46716928,0.17718829,0.033268224,49700,0.15712738,0.055502415,100737.7706,125620,11.520276088818513,FALSE
Babson College,1,MA,4,Highly selective private,2,13442.27,2106,45120,19718,0.9072847682119204,14952,1275,NA,0.027997315,0.0042740521,140500,0.041080918,0.069346882,0.095390707,0.1734544,0.62072706,0.34550944,0.11375799,95300,0.46762216,0.17773013,126141.3402,344492,11.745158304863912,FALSE
Barnard College,1,NY,2,Other elite schools (private and public),2,18913.918,2498,46040,15943,0.8965517241379312,11888,1345,NA,0.034545787,0.004341159,148000,0.065402597,0.08757998,0.092271917,0.12810346,0.62664211,0.37600601,0.12618665,56300,0.21107487,0.067330688,113643.7252,286761,11.640823616141866,FALSE
Bates College,1,ME,2,Other elite schools (private and public),2,18547.434,1791,47030,14332,0.9298642533936652,10374,NA,NA,0.0075810608,8.6732709e-4,176900,0.018359207,0.047235712,0.07726942,0.16423874,0.6928969,0.43707693,0.13819,55900,0.20628333,0.070174351,140053.5714,250976,11.84978028125565,FALSE
Baylor University,3,TX,4,Highly selective private,2,12419.549,13292,38120,26425,0.7471517824329291,8793,1230,NA,0.013736501,0.0013184855,132400,0.040205304,0.072580665,0.1105746,0.18152407,0.59511542,0.27677065,0.059036355,50300,0.18077478,0.050288547,70025.09026,1144280,11.156608889095704,FALSE
Beloit College,2,WI,4,Highly selective private,2,11351.498,1306,42500,14737,0.7815384615384614,7161,NA,NA,0.0090190554,0.0014354236,109800,0.037870955,0.080854058,0.13371772,0.25324389,0.4943133,0.15779327,0.027448835,40600,0.070832789,0.013553839,108217.9747,142487,11.591902756366274,FALSE
Bentley University,1,MA,4,Highly selective private,2,10753.32,4247,42511,19464,0.8727076591154261,12158,1240,NA,0.029418632,0.0023907071,119600,0.048559688,0.073758304,0.13549805,0.1938976,0.54828644,0.19987799,0.046308782,79800,0.33897567,0.085626543,47266.99661,241944,10.763567584853135,FALSE
