super_opeid,name,region,state,tier_name,type,exp_instr_pc_2013,ipeds_enrollment_2013,sticker_price_2013,scorecard_netprice_2013,grad_rate_150_p_2013,avgfacsal_2013,sat_avg_2013,endowment_pc_2000
3537,Abilene Christian University,3,TX,Selective private,2,7046.2036,3727,29450,20836,0.5656108597285069,5508,1075,NA
1541,Abraham Baldwin Agricultural College,3,GA,Nonselective four-year public,1,3301.0461,3394,3394,7887,NA,4752,925,1594.2852
1345,Adams State University,4,CO,Selective public,1,5938.9795,2284,8014,14705,0.2611764705882353,5986,984,1026.6212
2666,Adelphi University,1,NY,Selective private,2,10505.104,5040,32340,20512,0.6251415628539071,11315,1115,NA
2234,Adrian College,2,MI,Selective private,2,6377.8945,1646,32660,15774,0.5445134575569358,7453,990,NA
31155,Adventist University Of Health Sciences,3,FL,Nonselective four-year private not-for-profit,2,5347.0464,2160,12430,18425,0.3333333333333333,6539,925,NA
1542,Agnes Scott College,3,GA,Highly selective private,2,10864.845,915,35982,16756,0.720183486238532,8379,NA,NA
1002,Alabama Agricultural & Mechanical University,3,AL,Selective public,1,6233.3809,4051,9096,12683,0.2913832199546486,7079,843.5,NA
1005,Alabama State University,3,AL,Selective public,1,6024.6895,5356,8720,12342,0.2516654330125833,6557,855,3408.1538
2885,Albany College Of Pharmacy And Health Sciences,1,NY,Nonselective four-year private not-for-profit,2,10638.042,1078,30131,25442,0.7234848484848485,8530,1165,NA
1544,Albany State University,3,GA,Selective public,1,5396.4805,3660,5192,12026,0.4249201277955272,5607,880,24.122553
1374,Albertus Magnus College,1,CT,Selective private,2,4813.6611,1278,28930,21573,0.6062992125984252,7601,NA,NA
2235,Albion College,2,MI,Selective private,2,11015.776,1307,37300,18614,0.736,6969,1130,NA
3229,Albright College,1,PA,Selective private,2,9063.4053,2349,38220,19711,0.537109375,6340,NA,NA
2396,Alcorn State University,3,MS,Selective public,1,5695.0322,3157,6200,13419,0.3424657534246575,6431,890,71.481949
3806,Alderson Broaddus University,3,WV,Selective private,2,6949.6162,1052,22740,13431,0.457516339869281,4924,960,NA
2668,Alfred University,1,NY,Selective private,2,9391.0098,1960,26106,11715,0.6216216216216216,6408,1055,NA
3230,Allegheny College,1,PA,Selective private,2,10659.741,2161,40660,17619,0.7917383820998278,8108,1160,NA
2236,Alma College,2,MI,Selective private,2,7606.71,1419,34585,14985,0.611764705882353,7256,1023,NA
3233,Alvernia University,1,PA,Selective private,2,4766.6045,2371,30080,22382,0.5132450331125827,6152,970,NA
3832,Alverno College,2,WI,Selective private,2,5073.4673,1862,24434,13140,0.3851851851851852,5550,NA,NA
3963,American Institute Of Business,2,IA,Nonselective four-year private not-for-profit,2,3560.021,1019,15666,10531,NA,4706,NA,NA
2114,American International College,1,MA,Selective private,2,4906.4707,1513,30940,18044,0.4487179487179487,5700,880,NA
7572,American Musical & Dramatic Academy,1,NY,Nonselective four-year private not-for-profit,2,9481.4229,1365,32620,29726,NA,7984,NA,NA
1434,American University,3,DC,Highly selective private,2,10360.741,7340,41833,24281,0.7998442367601246,11074,1245,NA
2115,Amherst College,1,MA,Other elite schools (public and private),2,21715.02,1785,48526,1936,0.9578059071729956,11690,1449,NA
1785,"Anderson University of Anderson, IN",2,IN,Selective private,2,6876.3911,2016,26850,20389,0.5678496868475992,6395,1030,NA
3418,"Anderson University of Anderson, SC",3,SC,Nonselective four-year private not-for-profit,2,4117.2671,2652,23750,15131,0.4137931034482759,6409,1010,NA
2238,Andrews University,2,MI,Selective private,2,9362.6172,1905,26262,16210,0.6036036036036037,4961,1075,NA
3541,Angelo State University,3,TX,Selective public,1,5329.147,5473,6702,9452,0.2974860335195531,6867,965,9270.166
2117,Anna Maria College,1,MA,Selective private,2,4696.1489,1143,34060,20412,0.4689922480620155,3553,NA,NA
2906,Appalachian State University,3,NC,Selective public,1,6868.4453,16025,6553,6845,0.6857142857142857,7657,1150,3780.4121
2239,Aquinas College,2,MI,Selective private,2,4975.4541,1863,27906,10730,0.5955882352941176,5972,NA,NA
