SUPER_OPEID,mr_kq5_pq1,mr_ktop1_pq1,par_median,par_q1,par_q2,par_q3,par_q4,par_q5,par_top5pc,par_top1pc,k_median,k_top5pc,k_top1pc
30955,0.020033944,1.8909488e-5,29000,0.44357517,0.32679018,0.14371076,0.05970677,0.026217192,0.0069649424,4.1586254e-4,19700,0.013031097,0.0019814558
3537,0.014363836,0.0019969451,101000,0.052441355,0.10103199,0.16393574,0.25824007,0.42435089,0.12660472,0.023049099,40100,0.10058448,0.028367676
1541,0.014857335,9.9537033e-4,66000,0.15455516,0.18715858,0.22549702,0.23676255,0.19602653,0.033044621,0.0025202818,32500,0.02852213,0.0063849776
7531,0.01635739,0.0013608988,92300,0.093524233,0.12291715,0.1753495,0.21152514,0.39668405,0.14739551,0.035681199,27400,0.087273344,0.014030807
1345,0.018844681,3.1015468e-5,67200,0.12922439,0.1855039,0.24842876,0.26087633,0.17596665,0.024887405,0.0031467152,34100,0.030641153,0.0058325916
2666,0.032585073,0.0026125547,96300,0.087048024,0.12853861,0.15643388,0.22986455,0.39811498,0.10392397,0.023863256,50700,0.10178581,0.014892664
2860,0.0099409306,2.8334616e-5,69900,0.11428819,0.17760713,0.25521886,0.29444924,0.1584366,0.015902614,0.0019229873,30300,0.024216836,0.0031722626
2234,0.0095646288,4.2307722e-5,88500,0.060760289,0.11535594,0.20081325,0.28132689,0.34174353,0.072932914,0.011504383,40300,0.038714342,0.0035677333
11484,0.020172881,9.7403383e-5,78100,0.025902087,0.11116548,0.25450274,0.40800014,0.20042956,0.015591938,0.0014379369,24300,0.0014649497,0.0010896478
31275,0.031438664,6.4966553e-5,57200,0.15953134,0.21892074,0.26273358,0.2235292,0.13528517,0.010344932,0.0024579081,33900,0.016487939,0.0038512966
31155,0.037858434,7.6385069e-5,62900,0.12763435,0.21570545,0.2254377,0.27373475,0.15748784,0.016315293,5.8265973e-4,39200,0.026672954,7.6833158e-4
1542,0.014744159,8.4282074e-5,97200,0.072003044,0.12996751,0.15526837,0.226091,0.41667008,0.11762413,0.012381608,38900,0.073669724,0.015001114
10056,0.017105054,0,64100,0.20115341,0.19178109,0.18350492,0.26164183,0.16191886,0.012990623,0.0015426408,25200,0.0078072478,3.422593e-4
1002,0.0421931,7.2911417e-4,44500,0.24356118,0.26432449,0.19608772,0.17628771,0.11973897,0.0090836408,1.7934357e-4,32900,0.023782138,0.0025651255
1034,0.030778091,0,44300,0.29389939,0.22918545,0.16352981,0.21245942,0.1009258,0.012100537,0.0035938015,24300,0.0158152,0.0025435083
5463,0.0044741882,0,61200,0.13409744,0.21639305,0.24086517,0.25753823,0.15110618,0.020127453,0.0022421419,25100,0.012039339,0.001604563
37,0.02440845,9.9358942e-5,50600,0.21751642,0.24149129,0.21906626,0.19534898,0.12657699,0.018594263,0.0027724218,29800,0.022791557,0.0028615778
2885,0.033575334,1.0010065e-4,95800,0.039403558,0.10187934,0.18648764,0.27667844,0.39555106,0.041671876,0.0019784023,115800,0.69074345,0.10475121
1544,0.025794942,0,43800,0.2330108,0.28163674,0.21580002,0.1759358,0.093616597,0.007332874,9.4723084e-4,31900,0.017631337,0.0024892907
5601,0.014374671,0.0010685681,29200,0.44530651,0.28822574,0.13613243,0.091694914,0.03864035,0.0062040873,5.9043104e-4,15800,0.0050777737,0.0017936274
1374,0.055204768,3.8160928e-5,68600,0.12973523,0.16373675,0.24205586,0.23975486,0.22471726,0.049870253,0.0035828911,43400,0.045220874,0.0071068755
2235,0.0068131848,1.1605809e-4,120700,0.022652306,0.069142476,0.13488385,0.23832628,0.53499514,0.17897189,0.029275218,48900,0.11018217,0.030884888
3229,0.013705797,4.2539839e-5,89000,0.051434021,0.1267895,0.2036522,0.29418346,0.32394081,0.055048574,0.013267925,47300,0.096633479,0.017509378
3806,0.027365765,1.7945115e-4,59500,0.12749578,0.234915,0.28003561,0.23765394,0.11989974,0.021652492,3.0873786e-4,37800,0.042427003,0.0036570299
2668,0.014770933,5.0702543e-5,90800,0.065330885,0.12035545,0.19156954,0.26581183,0.35693237,0.089041352,0.018995715,44600,0.10137612,0.015507132
1111,0.019464159,5.7610676e-5,65700,0.1408916,0.18905991,0.23496437,0.25687888,0.1782054,0.02819534,0.0046700099,30800,0.030962626,0.0022870153
2057,0.019646211,8.248767e-5,57900,0.15657392,0.22410621,0.29169142,0.22855283,0.099075511,0.017396485,0.0013568602,32400,0.01185331,0.0019602762
